eeschema (2013-may-18)-stable  >> Creation date: Út 5. listopad 2013, 21:33:32 CET
#Cmp ( order = Reference )
| C1         100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C2         4.7uF       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C3         100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C4         4.7uF       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C5         100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C6         10uF        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C7         100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C8         100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C9         1uF         ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C10        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C11        10nF        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C12        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C13        10uF        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C14        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C15        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C16        22uF        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C17        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C18        56nF        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C19        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C20        2.2uF       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C21        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C22        2.2uF       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C23        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C24        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C25        18pF        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C26        18pF        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C27        10uF        ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C28        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C29        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C30        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C31        1uF         ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C32        4.7uF       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C33        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C34        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C35        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C36        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C37        4.7uF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C38        18pF        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C39        18pF        ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C40        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C41        4.7uF       ; c_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| C42        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C43        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C44        2.2nF/50V   ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C45        220nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| C46        100nF       ; c_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| D2         LED_RED     ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| D3         LED_ORANGE  ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| D4         LED_BLUE    ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| D5         LED_GREEN   ; led_2.1x0.6 ;             ;             ;             ;             ;             ;             ;             ;             
| D6         LED_BLUE_F4 ; Led_0603    ;             ;             ;             ;             ;             ;             ;             ;             
| D7         LED_RED_F4  ; Led_0603    ;             ;             ;             ;             ;             ;             ;             ;             
| D8         CD0603-S01575; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| L1         10uH        ; r_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| P1         CONN_13X3   ; pin_strip_13x3-90;             ;             ;             ;             ;             ;             ;             ;             
| P2         CONN_4      ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
| P3         CONN_4      ; picoblade_4-90;             ;             ;             ;             ;             ;             ;             ;             
